,publishedAt,title,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,duration,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
76,2026-03-10T18:00:49Z,المُخبر الاقتصادي+ | لماذا تساعد روسيا إيران على الصمود وتوريط أمريكا في حرب استنزاف طويلة؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT29M16S,hd,false,True,{},rectangular,1900643,32422,0,1210
77,2026-03-10T15:00:01Z,لماذا تقلق إسرائيل من تركيا؟,,24,none,ar,ar,PT2M3S,hd,false,False,{},rectangular,462163,15427,0,407
78,2026-03-10T12:30:01Z,نهاية الحرب؟,,24,none,ar,ar,PT1M,hd,false,False,{},rectangular,312116,11393,0,283
79,2026-03-09T18:05:00Z,الذكاء الاصطناعي في ساحة المعركة: كيف تغيّرت الحروب الحديثة؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT20M46S,hd,false,True,{},rectangular,121293,3626,0,155
80,2026-03-08T18:00:01Z,روسيا تكسب من الحرب؟,,24,none,ar,ar,PT2M4S,hd,false,False,{},rectangular,652294,22571,0,336
81,2026-03-08T13:30:00Z,استهداف مدرسة ميناب,,24,none,ar,ar,PT52S,hd,false,False,{},rectangular,547378,26640,0,667
82,2026-03-07T18:00:00Z,المُخبر الاقتصادي+ | كيف سيدفع العالم كله ثمن حرب أمريكا وإسرائيل على إيران بعد إغلاق مضيق هرمز؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT24M10S,hd,false,True,{},rectangular,1262875,28761,0,1074
83,2026-03-06T18:01:11Z,الجهبذ | ما هو الحرس الثوري الإيراني؟ وهل يختلف عن الجيش الإيراني؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT16M31S,hd,false,True,{},rectangular,286978,6098,0,362
84,2026-03-05T19:00:39Z,السليط الإخباري 2026 | هل بدأت الحرب العالمية الثالثة؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT11M43S,hd,false,True,{},rectangular,322531,11732,0,453
85,2026-03-05T18:00:02Z,هل تخشى أمريكا نفاد مخزوناتها من صواريخ التوماهوك في خضم حربها ضد إيران؟ #المخبر_الاقتصادي,,24,none,ar,ar,PT3M,hd,false,False,{},rectangular,914688,25436,0,353
86,2026-03-04T17:00:02Z,المُخبر الاقتصادي+ | الحرب على إيران تقلق الصين؟,,24,none,ar,ar,PT1M34S,hd,false,False,{},rectangular,728141,19057,0,425
87,2026-03-04T12:21:30Z,انفلونسرز الأمم المتحدة,,24,none,ar,ar,PT29S,hd,false,False,{},rectangular,557668,18054,0,338
88,2026-03-03T18:00:29Z,المُخبر الاقتصادي+ | كيف ورطت أمريكا وإسرائيل العالم في حرب مجنونة مع إيران؟,['Education'],24,none,ar,ar,PT31M6S,hd,false,True,{},rectangular,1669807,36432,0,2262
89,2026-03-03T13:00:02Z,ما الذي يحصل في لبنان؟,,24,none,ar,ar,PT49S,hd,false,False,{},rectangular,274713,10639,0,607
90,2026-03-02T19:03:04Z,ما أنواع الصواريخ التي تستخدمها إيران في حربها الحالية؟,,24,none,ar,ar,PT1M50S,hd,false,False,{},rectangular,425641,10459,0,158
